2022-04-20 05:52:25 status unpacked gnupg:all 2.2.12-1+deb10u1
2022-04-20 05:52:25 install libbluetooth3:amd64 <none> 5.50-1.2~deb10u2
2022-04-20 05:52:25 status half-installed libbluetooth3:amd64 5.50-1.2~deb10u2
2022-04-20 05:52:25 status unpacked libbluetooth3:amd64 5.50-1.2~deb10u2
2022-04-20 05:52:25 install libc-dev-bin:amd64 <none> 2.28-10+deb10u1
2022-04-20 05:52:25 status half-installed libc-dev-bin:amd64 2.28-10+deb10u1
2022-04-20 05:52:25 status unpacked libc-dev-bin:amd64 2.28-10+deb10u1
2022-04-20 05:52:25 install linux-libc-dev:amd64 <none> 4.19.235-1
2022-04-20 05:52:25 status half-installed linux-libc-dev:amd64 4.19.235-1
2022-04-20 05:52:25 status unpacked linux-libc-dev:amd64 4.19.235-1
2022-04-20 05:52:25 install libc6-dev:amd64 <none> 2.28-10+deb10u1
2022-04-20 05:52:25 status half-installed libc6-dev:amd64 2.28-10+deb10u1
2022-04-20 05:52:25 status unpacked libc6-dev:amd64 2.28-10+deb10u1
2022-04-20 05:52:25 install libbluetooth-dev:amd64 <none> 5.50-1.2~deb10u2
2022-04-20 05:52:25 status half-installed libbluetooth-dev:amd64 5.50-1.2~deb10u2
2022-04-20 05:52:25 status unpacked libbluetooth-dev:amd64 5.50-1.2~deb10u2
2022-04-20 05:52:25 install libbsd0:amd64 <none> 0.9.1-2+deb10u1
2022-04-20 05:52:25 status half-installed libbsd0:amd64 0.9.1-2+deb10u1
2022-04-20 05:52:25 status unpacked libbsd0:amd64 0.9.1-2+deb10u1
2022-04-20 05:52:25 install libbz2-dev:amd64 <none> 1.0.6-9.2~deb10u1
2022-04-20 05:52:25 status half-installed libbz2-dev:amd64 1.0.6-9.2~deb10u1
2022-04-20 05:52:25 status unpacked libbz2-dev:amd64 1.0.6-9.2~deb10u1
2022-04-20 05:52:25 install libexpat1:amd64 <none> 2.2.6-2+deb10u4
2022-04-20 05:52:25 status half-installed libexpat1:amd64 2.2.6-2+deb10u4
2022-04-20 05:52:25 status unpacked libexpat1:amd64 2.2.6-2+deb10u4
2022-04-20 05:52:25 install libexpat1-dev:amd64 <none> 2.2.6-2+deb10u4
2022-04-20 05:52:25 status half-installed libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-04-20 05:52:25 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-04-20 05:52:25 install libffi-dev:amd64 <none> 3.2.1-9
2022-04-20 05:52:25 status half-installed libffi-dev:amd64 3.2.1-9
2022-04-20 05:52:25 status unpacked libffi-dev:amd64 3.2.1-9
2022-04-20 05:52:25 install libpng16-16:amd64 <none> 1.6.36-6
2022-04-20 05:52:25 status half-installed libpng16-16:amd64 1.6.36-6
2022-04-20 05:52:25 status unpacked libpng16-16:amd64 1.6.36-6
2022-04-20 05:52:25 install libfreetype6:amd64 <none> 2.9.1-3+deb10u2
2022-04-20 05:52:25 status half-installed libfreetype6:amd64 2.9.1-3+deb10u2
2022-04-20 05:52:25 status unpacked libfreetype6:amd64 2.9.1-3+deb10u2
2022-04-20 05:52:25 install libfontconfig1:amd64 <none> 2.13.1-2
2022-04-20 05:52:25 status half-installed libfontconfig1:amd64 2.13.1-2
2022-04-20 05:52:25 status unpacked libfontconfig1:amd64 2.13.1-2
2022-04-20 05:52:25 install zlib1g-dev:amd64 <none> 1:1.2.11.dfsg-1+deb10u1
2022-04-20 05:52:25 status half-installed zlib1g-dev:amd64 1:1.2.11.dfsg-1+deb10u1
2022-04-20 05:52:25 status unpacked zlib1g-dev:amd64 1:1.2.11.dfsg-1+deb10u1
2022-04-20 05:52:26 install libpng-dev:amd64 <none> 1.6.36-6
2022-04-20 05:52:26 status half-installed libpng-dev:amd64 1.6.36-6
2022-04-20 05:52:26 status unpacked libpng-dev:amd64 1.6.36-6
2022-04-20 05:52:26 install libfreetype6-dev:amd64 <none> 2.9.1-3+deb10u2
2022-04-20 05:52:26 status half-installed libfreetype6-dev:amd64 2.9.1-3+deb10u2
2022-04-20 05:52:26 status unpacked libfreetype6-dev:amd64 2.9.1-3+deb10u2
2022-04-20 05:52:26 install uuid-dev:amd64 <none> 2.33.1-0.1
2022-04-20 05:52:26 status half-installed uuid-dev:amd64 2.33.1-0.1
2022-04-20 05:52:26 status unpacked uuid-dev:amd64 2.33.1-0.1
2022-04-20 05:52:26 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u3
2022-04-20 05:52:26 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u3
2022-04-20 05:52:26 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u3
2022-04-20 05:52:26 install pkg-config:amd64 <none> 0.29-6
2022-04-20 05:52:26 status half-installed pkg-config:amd64 0.29-6
2022-04-20 05:52:26 status unpacked pkg-config:amd64 0.29-6
2022-04-20 05:52:26 install libfontconfig1-dev:amd64 <none> 2.13.1-2
2022-04-20 05:52:26 status half-installed libfontconfig1-dev:amd64 2.13.1-2
2022-04-20 05:52:26 status unpacked libfontconfig1-dev:amd64 2.13.1-2
2022-04-20 05:52:26 install libgdbm-dev:amd64 <none> 1.18.1-4
2022-04-20 05:52:26 status half-installed libgdbm-dev:amd64 1.18.1-4
2022-04-20 05:52:26 status unpacked libgdbm-dev:amd64 1.18.1-4
2022-04-20 05:52:26 install x11-common:all <none> 1:7.7+19
2022-04-20 05:52:26 status half-installed x11-common:all 1:7.7+19
2022-04-20 05:52:26 status unpacked x11-common:all 1:7.7+19
2022-04-20 05:52:26 install libice6:amd64 <none> 2:1.0.9-2
2022-04-20 05:52:26 status half-installed libice6:amd64 2:1.0.9-2
2022-04-20 05:52:26 status unpacked libice6:amd64 2:1.0.9-2
2022-04-20 05:52:26 install xorg-sgml-doctools:all <none> 1:1.11-1
2022-04-20 05:52:26 status half-installed xorg-sgml-doctools:all 1:1.11-1
2022-04-20 05:52:26 status unpacked xorg-sgml-doctools:all 1:1.11-1
2022-04-20 05:52:26 install x11proto-dev:all <none> 2018.4-4
2022-04-20 05:52:26 status half-installed x11proto-dev:all 2018.4-4
2022-04-20 05:52:26 status unpacked x11proto-dev:all 2018.4-4
2022-04-20 05:52:26 install x11proto-core-dev:all <none> 2018.4-4
2022-04-20 05:52:26 status half-installed x11proto-core-dev:all 2018.4-4
2022-04-20 05:52:26 status unpacked x11proto-core-dev:all 2018.4-4
2022-04-20 05:52:26 install libice-dev:amd64 <none> 2:1.0.9-2
2022-04-20 05:52:26 status half-installed libice-dev:amd64 2:1.0.9-2
2022-04-20 05:52:26 status unpacked libice-dev:amd64 2:1.0.9-2
2022-04-20 05:52:26 install liblzma-dev:amd64 <none> 5.2.4-1+deb10u1
2022-04-20 05:52:26 status half-installed liblzma-dev:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:26 status unpacked liblzma-dev:amd64 5.2.4-1+deb10u1
2022-04-20 05:52:26 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 install libncurses-dev:amd64 <none> 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 status half-installed libncurses-dev:amd64 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 status unpacked libncurses-dev:amd64 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 install libncursesw5-dev:amd64 <none> 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 status half-installed libncursesw5-dev:amd64 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 status unpacked libncursesw5-dev:amd64 6.1+20181013-2+deb10u2
2022-04-20 05:52:26 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2022-04-20 05:52:26 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2022-04-20 05:52:26 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2022-04-20 05:52:26 install libreadline-dev:amd64 <none> 7.0-5
2022-04-20 05:52:26 status half-installed libreadline-dev:amd64 7.0-5
2022-04-20 05:52:26 status unpacked libreadline-dev:amd64 7.0-5
2022-04-20 05:52:26 install libsm6:amd64 <none> 2:1.2.3-1
2022-04-20 05:52:26 status half-installed libsm6:amd64 2:1.2.3-1
